epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,8509.77,0.95773,1.00608,0.01176,0.82286,0.76734,0.84253,0.65268,0.92085,0.7958,0.01518,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8628.23,0.95338,1.00928,0.01169,0.82722,0.76429,0.84283,0.65261,0.92023,0.79589,0.01517,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8746.56,0.95277,0.99724,0.01161,0.82218,0.76944,0.84238,0.6524,0.91976,0.79504,0.01515,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8864.7,0.94602,0.98268,0.01165,0.82735,0.76742,0.84288,0.65308,0.91969,0.79361,0.01514,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8983.3,0.94031,0.9809,0.01146,0.82641,0.76689,0.8427,0.65319,0.91807,0.79552,0.01512,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9101.75,0.93965,0.96367,0.01144,0.82587,0.76749,0.84219,0.65294,0.9174,0.79547,0.0151,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9220.32,0.93721,0.96216,0.01127,0.82593,0.76761,0.84267,0.65327,0.91736,0.79493,0.01509,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9338.6,0.93034,0.95653,0.01127,0.82852,0.76427,0.84225,0.65283,0.91732,0.79434,0.01509,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9457.09,0.92469,0.94618,0.01121,0.83035,0.76093,0.84212,0.65278,0.91791,0.7926,0.01511,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9575.56,0.92404,0.94171,0.01114,0.82719,0.76532,0.84235,0.65326,0.91775,0.79228,0.01512,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9693.95,0.9186,0.93748,0.01114,0.82892,0.76464,0.84287,0.65385,0.91842,0.7907,0.01512,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9812.25,0.91168,0.93009,0.01107,0.82829,0.76536,0.84269,0.65373,0.91728,0.79189,0.0151,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9930.88,0.9108,0.92513,0.011,0.8246,0.76825,0.84255,0.65353,0.91688,0.79247,0.01509,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10049.3,0.90565,0.90735,0.01082,0.82741,0.76679,0.84288,0.65378,0.9167,0.7924,0.01509,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10167.8,0.90392,0.90274,0.01091,0.82539,0.77039,0.84299,0.65409,0.9168,0.79152,0.01509,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10286.2,0.89814,0.89251,0.01084,0.82622,0.77058,0.84259,0.65377,0.9179,0.7888,0.01511,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10404.6,0.89462,0.88746,0.01073,0.82718,0.76903,0.84244,0.65327,0.91801,0.78973,0.01511,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10523.1,0.89587,0.89073,0.0107,0.8255,0.77058,0.84233,0.65292,0.91752,0.79092,0.01509,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10641.5,0.88823,0.87935,0.01069,0.82367,0.77332,0.84218,0.65269,0.91819,0.78902,0.0151,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10759.9,0.8878,0.87263,0.01059,0.82576,0.77116,0.84194,0.65312,0.91814,0.78897,0.0151,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10877.1,0.81873,0.60693,0.01146,0.82176,0.77626,0.84209,0.65299,0.91808,0.7873,0.0151,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10994,0.80018,0.5752,0.01109,0.82074,0.77645,0.84175,0.65285,0.91822,0.78711,0.01511,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,11110.7,0.7916,0.5591,0.01089,0.81684,0.77672,0.84148,0.65267,0.91789,0.78837,0.0151,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,11227.4,0.79051,0.55449,0.0108,0.82096,0.77545,0.84206,0.653,0.9179,0.78832,0.0151,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11344.2,0.77637,0.54299,0.01052,0.82113,0.77649,0.84237,0.65306,0.91801,0.78755,0.01509,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,11461,0.77353,0.53216,0.01038,0.81909,0.77756,0.8423,0.6527,0.9184,0.78696,0.01509,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11577.7,0.77077,0.52557,0.01037,0.81895,0.7796,0.84223,0.65303,0.9182,0.78624,0.01508,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11694.2,0.76494,0.52459,0.01019,0.82736,0.7739,0.84231,0.65305,0.91866,0.78562,0.01509,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11811.1,0.75843,0.51577,0.01015,0.82531,0.77578,0.84233,0.6529,0.91846,0.78641,0.01508,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11927.6,0.75428,0.51463,0.01009,0.82851,0.77284,0.84257,0.65338,0.91826,0.78681,0.01508,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
